代码,名称,总市值
159575,创业板200ETF银华,18846950
562320,沪深300价值ETF,244136988
517010,沪港深500ETF易方达,68753423
159941,纳指ETF,25842026187
560650,核心50ETF,11441582
561300,300增强ETF,2135181097
560510,中证A500ETF,8142696063
515330,300ETF天弘,12361314002
560560,碳中和ETF泰康,72385696
159579,深主板50ETF华安,7643680
588820,科创200ETF基金,48521200
562300,碳中和ETF基金,67597695
159994,5GETF,1656187658
159820,中证500ETF天弘,2357397196
159621,MSCIESGETF,32207674
517000,沪港深500ETF,399495229
563880,中证A500指数ETF,9898088420
159781,科创创业ETF,9382436231
515310,沪深300指数ETF,304921658
510180,上证180ETF,21097939360
159356,A500ETF基金,6806835790
159783,科创创业50ETF,4971466269
159780,双创ETF,4511013991
515160,MSCI中国ETF招商,524737680
159306,汽车零件ETF,16452531
517170,沪港深ETF,48722402
510370,300指数ETF,117539289
159959,央企ETF,2944211183
159352,中证A500ETF南方,21637795360
562260,汽车配件ETF,14378529
563360,中证A500ETF基金,18049212077
159660,纳指100ETF,2233706394
518860,黄金ETFAU,746371175
530800,上证180ETF基金,165168056
159330,沪深300ETF基金,1071476388
530080,180指数ETF,168130344
159885,碳中和ETF基金,276395714
515790,光伏ETF,9364846584
515380,沪深300ETF泰康,4451910350
561590,中证1000增强ETF,53302086
159732,消费电子ETF,2159125739
159520,消费龙头ETF,135900044
513100,纳指ETF,15474051259
159559,机器人100ETF,116813297
512500,中证500ETF华夏,14918464401
159566,储能电池ETF,101112601
515660,沪深300ETF国联安,4641302665
159888,智能车ETF,98110821
510580,中证500ETF易方达,3355711819
562380,央企科技引领ETF,268758893
510190,上证50ETF指数基金,219577421
159513,纳斯达克100指数ETF,5989461814
159640,碳中和龙头ETF,205029816
515530,中证500ETF泰康,87267786
516260,物联网50ETF,111156931
159627,A100ETF,43830483
516270,新能源50ETF,205608417
510850,上证50ETF工银,249549632
516580,新能源主题ETF,107697086
159967,创业板成长ETF,4615412664
159632,纳斯达克ETF,10422105258
560550,碳中和ETF龙头,470930004
510130,中盘ETF,249283966
159980,有色ETF,887102133
159517,800增强ETF,15966262
561350,国泰中证500ETF,132568300
159642,碳中和100ETF,103549380
159913,深价值ETF,72225325
510950,上证50ETF指数,114552900
517300,沪港深300ETF,2660850817
159378,通用航空ETF,234088348
159876,有色龙头ETF,80601688
517030,沪港深300ETF易方达,66002527
510050,上证50ETF,148166377034
515630,保险证券ETF,250212245
588190,科创100ETF,4739793343
512960,央企结构调整ETF,5253634485
515590,500等权ETF,55760343
159339,A500ETF,10080212701
159320,电网ETF,38831034
588450,科创50ETF增强,130932841
159617,500价值ETF,48823558
515780,浦银MSCI中国ETF,11570108
530580,180ETF基金,848839220
510100,上证50ETF易方达,3913460333
159861,碳中和50ETF,177902201
510030,价值ETF,207106611
515770,摩根MSCIAETF,88676668
512510,中证500ETF华泰柏瑞,1254842077
560860,工业有色ETF,471155960
510160,产业升级ETF,247302280
561910,电池ETF,508559840
562800,稀有金属ETF,1011095264
588370,科创50增强策略ETF,143305896
159730,龙头家电ETF,46391624
159583,通信设备ETF,79948184
518850,黄金ETF华夏,1824369958
159896,物联网龙头ETF,53849790
530000,上证50ETF天弘,2131277231
515050,5G通信ETF,6879128236
159881,有色60ETF,55113318
159812,黄金基金ETF,401356739
513310,中韩半导体ETF,579797559
515450,红利低波50ETF,6179554198
588080,科创板50ETF,58961415617
510800,50ETF基金,595801752
588050,科创ETF,13262817759
159673,沪深300ETF鹏华,4954921321
588090,科创板ETF,4775750697
159612,标普500ETF,593615432
159834,金ETF,377305881
516720,ESGETF,25492615
159628,国证2000ETF,914481093
561930,沪深300ETF招商,846358718
562500,机器人ETF,6631689033
517160,长江保护主题ETF,1324550248
513650,标普500ETF基金,4189488016
561800,稀有金属ETF基金,83509842
512220,TMTETF,411265162
159934,黄金ETF,14879222428
510710,上证50ETF博时,683757174
159652,有色50ETF,312073704
588320,双创50ETF增强,30264281
515920,智能消费ETF,210812773
159770,机器人ETF,1910628354
561320,交运ETF,74903908
510230,金融ETF,4750694056
561550,500增强ETF,804243734
513300,纳斯达克ETF,5939070303
518880,黄金ETF,33677843695
561100,消费电子ETF富国,501555817
159790,碳中和ETF,2356529705
560330,沪深300价值ETF申万菱信,107590590
159830,上海金ETF,399011177
562990,碳中和ETF易方达,1190963852
159639,碳中和ETF南方,790494855
510650,金融地产ETF,43103655
515300,红利低波ETF基金,5297609896
588030,科创100指数ETF,7802891323
159800,中证800ETF,68310901
588220,科创100ETF基金,5841046858
588120,科创板100ETF,1364071489
159556,中证2000ETF增强,76592187
159845,中证1000ETF,30742779052
159831,上海金ETF基金,178571166
560030,800价值ETF,38269760
560100,中证500增强ETF,120741596
518600,上海金ETF,756140987
159997,电子ETF,1448395062
516760,养殖ETF,143040554
159680,1000ETF增强,328408439
530180,上证180ETF易方达,172560384
588680,科创100ETF增强指数基金,53321790
516560,养老ETF,112723884
159993,证券ETF龙头,1571897987
159502,标普生物科技ETF,1120201701
512750,基本面50ETF,106680605
159703,新材料ETF,63108955
510600,申万上证50ETF,54675551
530050,上证50ETF东财,212710317
512160,MSCI中国A股ETF,309746916
561330,矿业ETF,53223061
517520,黄金股ETF,2111286072
518800,黄金基金ETF,9399256654
563030,中证500ETF增强,185335887
518660,黄金ETF基金,1289814540
159937,黄金ETF基金,16701636119
516880,光伏50ETF,751405340
516650,有色金属ETF基金,100876068
518890,中银上海金ETF,719392660
510090,ESGETF基金,86037777
159857,光伏ETF,2006381299
588870,科创50指数ETF,87562496
563090,上证50ETF增强,79488704
159677,1000增强ETF,50826241
562910,高端制造ETF,104791927
159609,光伏龙头ETF,257614659
159933,国投金融地产ETF,155734614
512360,平安MSCI国际ETF,68142563
512800,银行ETF,7571165915
588000,科创50ETF,87175346070
588060,科创50ETF龙头,5739647343
159530,机器人ETF易方达,299254638
159526,机器人指数ETF,323521483
518680,金ETF,862227472
512730,中证银行ETF,77279458
512380,MSCI中国ETF,137245476
561280,中证1000ETF增强,47818033
563050,央企科技50ETF,296849644
516290,光伏龙头ETF,227218981
513390,纳指100ETF,1864444381
159758,红利质量ETF,534626067
159509,纳指科技ETF,10078700271
510680,上证50ETF基金,150375446
159629,1000ETF,10470839988
159633,中证1000ETF易方达,2902610911
159905,深红利ETF,3258820305
588800,科创100ETF华夏,4586704618
562700,汽车零部件ETF,32550750
159671,稀有金属ETF基金,546411480
588210,科创100ETF易方达,305798284
159619,基建ETF,143774033
159864,光伏50ETF,387033718
159666,交通运输ETF,74252591
588150,科创50ETF南方,283129747
159763,新材料ETF基金,57699134
517400,黄金股票ETF,335764032
159560,芯片50ETF,147763832
159863,光伏ETF基金,244367657
588280,科创50ETF指数基金,507833304
159662,交运ETF,68917807
159635,基建50ETF,114961827
530680,上证180指数ETF基金,542797715
516300,中证1000ETF华泰柏瑞,165001979
159761,新材料50ETF,155719131
159678,中证500增强ETF,87088723
159708,红利ETF,237395492
159623,成渝经济圈ETF,3189035195
516950,基建ETF,587585132
512820,银行ETF龙头,2263258619
561060,国企红利ETF,57308900
159505,国证2000指数ETF,13917283
159562,黄金股ETF,351029440
561790,央企现代能源ETF,53229644
561780,1000增强ETF,14186601
512100,中证1000ETF,55823043840
588830,科创新能源ETF,420939109
159865,养殖ETF,3189349689
560590,1000ETF增强,22154040
560010,中证1000ETF指数,25129250514
510980,上证综合ETF,401560730
159867,畜牧ETF,621757565
515650,消费50ETF,2166968944
159610,500ETF增强,647626932
159551,机器人产业ETF,185028508
159608,稀有金属ETF,228687447
515320,电子50ETF,207715611
159618,光伏ETF指数基金,65709005
562950,消费电子ETF易方达,223230404
516180,光伏ETF平安,63727109
159887,银行ETF,412627589
588880,科创100ETF华泰柏瑞,359768448
159321,黄金股票ETF,63760776
515260,电子ETF,534941429
516210,银行ETF指数基金,118638018
159916,深F60ETF,379437921
510270,国企ETF,33659226
159653,ESG300ETF,58146459
